Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5309.816,4286.723,2515.562,2335.879,1925.175,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4712.095,4814.771,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.61562396,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803972418,1.624721963,1.662184826,..,..,..
Albania,ALB,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,12.87477954,14.17322835,19.1588785,27.27272727,30.04926108,16.75675676,13.44086022,16.08391608,12.5748503,9.310344828,10.59602649,9.463722397,7.923497268,9.42408377,6.982543641,7.853403141,6.860158311,8.73015873,7.567567568,4.383561644,2.301790281,2.898550725,2.873563218,1.373626374,..,..,..
Albania,ALB,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,8.770718232,6.415739949,7.871720117,6.750392465,5.142857143,2.460456942,2.181818182,2.375296912,1.882845188,0.982800983,0.72815534,0.455062571,0.684261975,0.597779675,0.792253521,0.517241379,0.564440263,0.840336134,0.335289187,0.418760469,0.558213716,0.55983205,0.622568093,0.685453161,..,..,..
Albania,ALB,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,37.08563536,52.01026518,56.26822157,63.42229199,83.42857143,85.06151142,87.09090909,91.44893112,92.88702929,93.48894349,94.17475728,97.04209329,97.06744868,90.69171648,90.31690141,92.06896552,90.96895579,86.08776844,86.83989941,78.05695142,75.99681021,72.07837649,67.00389105,69.23076923,..,..,..
Albania,ALB,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,37.74250441,37.00787402,35.51401869,27.27272727,22.66009852,31.35135135,28.49462366,23.07692308,25.74850299,16.89655172,15.56291391,17.03470032,11.74863388,13.08900524,13.71571072,11.78010471,17.94195251,16.93121693,13.51351351,20.82191781,26.08695652,26.8115942,18.3908046,15.93406593,..,..,..
Albania,ALB,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,31.39329806,25.19685039,13.55140187,11.11111111,8.374384236,4.324324324,5.913978495,3.496503497,2.994011976,17.5862069,16.55629139,16.40378549,15.0273224,15.70680628,12.21945137,8.90052356,13.98416887,11.64021164,8.378378378,5.205479452,6.138107417,6.038647343,6.896551724,6.593406593,..,..,..
Albania,ALB,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,5.467372134,9.448818898,13.08411215,8.585858586,7.881773399,13.51351351,18.27956989,23.07692308,14.37125749,8.275862069,8.609271523,8.832807571,16.93989071,11.51832461,9.725685786,9.42408377,10.55408971,7.407407407,8.918918919,9.04109589,8.184143223,7.487922705,7.183908046,8.791208791,..,..,..
Albania,ALB,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,47.09944751,34.55945252,31.77842566,25.74568289,8.761904762,7.732864675,5.636363636,2.850356295,3.138075314,3.685503686,2.305825243,2.502844141,2.248289345,1.964133219,2.024647887,1.724137931,1.881467545,1.867413632,2.347024308,8.877721943,9.330143541,10.21693492,13.307393,11.42421935,..,..,..
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,28750,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12781029644,13277963807,11455595709,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.575640187,-29.58899768,-7.199999987,9.600000012,8.299999997,13.29999999,9.1,-10.83785573,9.00885254,13.50117338,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.900000009,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,2,2.56,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4588.64944,3965.016806,..
Algeria,DZA,"Population, total",SP.POP.TOTL,25912364,26554277,27180921,27785977,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,39666519,..
Algeria,DZA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.454523159,0.458085674,0.443779265,0.450451527,0.46781805,0.486626047,0.467678027,0.412961634,0.471936693,0.387478382,0.348395529,0.317030119,0.318690557,0.296861893,0.267905856,0.293389483,0.264308393,0.269496474,0.260009985,0.279622402,0.261696965,0.253378568,0.25808856,0.255067148,..,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,77942.085,80193.623,80890.353,82294.814,86500.863,95345.667,97131.496,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,101165.196,109496.62,110299.693,121432.705,119177.5,121187.016,129987.816,134215.867,..,..,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.007911011,3.019988946,2.975997502,2.961739082,3.049884255,3.298667223,3.302462522,2.950878349,3.529699396,2.994118743,2.819778007,2.668327798,2.840027912,2.856410052,2.727017138,3.220154559,2.997546973,3.195864593,3.168524491,3.430128957,3.30716434,3.300557789,3.471949931,3.51478009,..,..,..
Algeria,DZA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,45.13291634,43.99561323,43.79322898,44.60127029,45.6959707,46.7462039,46.86588921,49.49982136,48.28725439,48.10375965,47.4386079,47.92063492,47.38000881,45.19177321,43.27198364,42.07876049,42.40059457,40.0117855,40.03405221,38.83063235,37.92419338,38.86984624,39.86626909,38.42978836,..,..,..
Algeria,DZA,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,49.96000941,47.95829713,39.50768394,43.89983067,43.25745051,49.56732433,52.10283902,44.26427176,51.07016883,55.32423072,45.19788148,48.7144908,49.18873103,47.61829278,46.08481868,57.18491134,48.7784544,46.6845278,46.77349646,45.24233731,44.81538462,46.84398451,49.36526743,48.80467747,..,..,..
Algeria,DZA,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,30.8962597,33.81498925,36.27544313,34.04331165,35.23252363,28.42582978,28.23920266,34.97151886,30.92702305,24.10732057,35.1307394,33.78866316,33.42751049,35.47990806,37.72997337,28.79783665,34.85573438,35.02679169,33.90072808,36.99833912,38.09538462,38.74969741,37.37305349,38.71478921,..,..,..
Algeria,DZA,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,11.08287725,11.36903674,11.48525664,10.9915314,10.93406593,11.31597975,10.71428571,9.449803501,9.841766649,9.932687572,10.01788909,9.920634921,9.702040217,9.741523068,11.02931152,10.60038735,10.77666295,11.45550972,11.43019296,10.43321682,11.4336431,10.97835667,9.216589862,8.896109599,..,..,..
Algeria,DZA,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16269463,3.727680902,3.8781706,3.189662962,4.048476333,..,..,..
Algeria,DZA,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,12.88115715,13.78175836,14.1609028,14.52011291,14.96336996,14.62400578,15.14212828,14.2550911,15.0060859,14.92365786,15.15693609,15.11111111,14.51636577,14.84157865,15.69188821,16.1394448,15.0997151,16.02828521,15.40295119,14.2675564,13.81434687,14.29830575,15.17122978,15.78993589,..,..,..
Algeria,DZA,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,3.923782639,3.498102337,3.073575411,2.441850102,2.738564585,2.08453521,1.483690728,1.62986986,2.047875073,2.440189483,2.318695525,2.575368687,2.982725218,3.118807958,2.220856382,2.279728897,2.76569523,2.836570663,2.815918082,1.340782123,1.021538462,0.865407892,0.798352516,0.540968826,..,..,..
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,..
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,62045098375,45715367087,48003298223,49946455211,42542571306,41764052458,46941496780,48177862502,48187747529,48640611686,54790060513,54744714110,56760288396,67863829705,85324998959,1.03E+11,1.17E+11,1.35E+11,1.71E+11,1.37E+11,1.61E+11,2.00E+11,2.09E+11,2.10E+11,2.14E+11,1.67E+11,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.800000581,-1.200000584,1.800002301,-2.100000761,-0.899996546,3.799994788,4.09999847,1.099999938,5.100003609,3.200001553,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.9,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2394.420608,1721.582067,1766.065919,1797.541804,1499.984092,1444.907936,1596.006859,1611.961948,1588.421338,1580.957569,1757.011974,1732.958517,1774.292021,2094.893302,2600.00652,3102.037384,3467.54474,3939.559939,4912.251941,3875.822095,4473.486446,5447.403976,5583.61616,5491.614414,5484.066806,4206.031232,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434,55538,..
American Samoa,ASM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,..
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,"Population, total",SP.POP.TOTL,54511,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786,70473,..
Andorra,ADO,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,491.378,491.378,491.378,..,..,..
Andorra,ADO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,6.374494942,6.616353766,7.145696603,7.576446281,8.001433893,8.018180706,7.73765678,7.484094812,7.159140446,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,6.195193908,6.473847856,..,..,..
Andorra,ADO,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Andorra,ADO,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..
Andorra,ADO,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Andorra,ADO,Surface area (sq. km),AG.SRF.TOTL.K2,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,..
Andorra,ADO,GDP (current US$),NY.GDP.MKTP.CD,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100667,..,..,..
Andorra,ADO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.781393478,2.546000641,0.929215383,-1.031491714,2.383195277,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,..,..,..
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,18876.72935,19530.8435,20541.7739,16508.87522,16226.97108,18460.00743,19038.79883,18405.3201,18969.97799,19323.89255,21432.96007,21897.66294,24175.37275,31742.99258,37235.45003,39990.33041,42417.22915,47253.5298,46735.99957,42701.44714,39639.38602,41630.05258,39666.36921,42806.52245,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,11127870,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,25021974,..
Angola,AGO,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.147976953,0.144222232,0.154623004,0.222934789,0.142078031,0.355618525,0.299271675,0.19247235,0.176503548,0.210970517,0.208665515,0.199665562,0.275009299,0.183352519,0.33365687,0.278619976,0.260234807,0.233572465,0.205729431,0.215520262,0.215276118,0.211932897,0.217844698,0.195058829,..,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,5115.465,5089.796,5196.139,5775.525,3890.687,10975.331,10458.284,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30340.758,33399.036,32463.951,..,..,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.459698487,0.443664509,0.438530823,0.47159516,0.307601078,0.841494446,0.779026419,0.5348313,0.515117027,0.627072296,0.633625299,0.625351712,0.786223278,0.543083667,1.086604897,1.069417185,1.200877147,1.311096483,1.295686513,1.354388572,1.369338878,1.382752197,1.472255038,1.384496389,..,..,..
Angola,AGO,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,12.24489796,10.72319202,9.511568123,7.345971564,9.090909091,9.974424552,9.785202864,14.78060046,15.54959786,17.72151899,20.08639309,20.67594433,18.90909091,17.28045326,11.48648649,15.93495935,12.96969697,12.34439834,13.3784928,17.80821918,17.20714758,14.86318408,13.57672561,14.22390481,..,..,..
Angola,AGO,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,19.78494624,21.32564841,20.53634439,18.15873016,24.97643732,9.555629803,10.02805049,14.45603577,14.85198194,11.45374449,11.37586472,10.17332329,9.14881297,13.43042071,7.668292683,6.527565084,5.862977602,6.342032366,4.949365283,4.644412192,4.719838465,4.641044235,4.259991217,2.34948605,..,..,..
Angola,AGO,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,48.45878136,44.88472622,44.10726888,51.42857143,33.36475024,76.74574006,67.35624123,45.15648286,37.83241345,40.52863436,38.47040738,44.2351168,39.6641575,75.48543689,26.8097561,24.73200613,34.86495389,35.01968217,39.78034517,44.28024805,46.04997476,47.3168963,51.50417216,53.51858127,..,..,..
Angola,AGO,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,44.89795918,40.64837905,43.95886889,51.8957346,38.99521531,46.03580563,44.86873508,40.18475751,34.85254692,31.22362869,33.90928726,32.20675944,32.36363636,25.92067989,28.37837838,27.96747967,23.75757576,23.54771784,17.78154107,15.78947368,15.42025149,15.23631841,12.72104963,8.869659275,..,..,..
Angola,AGO,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,0.765306122,0.498753117,0.257069409,0,0,0.255754476,0.238663484,2.56E-15,0.268096515,0.210970464,0,-2.21E-15,0,0.141643059,0.135135135,0.162601626,0.363636364,0.31120332,0.33869602,0.288392213,0.264725347,0.248756219,0.285225328,0.32449973,..,..,..
Angola,AGO,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,16.07142857,16.70822943,15.68123393,12.08530806,15.07177033,16.8797954,21.4797136,21.01616628,26.80965147,26.37130802,22.67818575,23.26043738,21.81818182,17.70538244,17.43243243,16.09756098,23.39393939,23.85892116,24.80948349,25.01802451,24.68563865,25.55970149,26.01254991,30.394808,..,..,..
Angola,AGO,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,10027408249,14519495448,10341398740,10112148362,10420902294,4967585282,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,12497346670,14188949191,19640848729,28233712831,41789478661,60448921272,84178032716,75492384801,82470913121,1.04E+11,1.15E+11,1.25E+11,1.27E+11,1.03E+11,..
